objid,fileid,ra,dec,u,g,r,i,z,field
1237662224594305220,588017978346111168,156.06727107,36.04212228,20.106056,18.252907,17.334618,16.946459,16.623198,221
1237655691937251730,587729970712347008,215.37209365,-2.44399945,20.331465,18.68993,17.791321,17.342367,16.958593,41
1237657606428819572,587731522817556560,135.25375032,43.85828552,20.455183,18.423437,17.166204,16.682266,16.366468,192
1237658802574524619,587733081349619818,183.50977029,55.51707076,19.480768,18.101418,17.403135,17.03064,16.761097,151
1237658312406335561,587732591181430855,194.61593786,60.01849619,19.571358,17.777864,16.839184,16.428841,16.070711,74
1237667254013722852,587741532788817978,179.5451826,29.83620415,19.970659,18.384424,17.482473,17.014757,16.765944,415
1237665231595700419,587739407342502117,243.9048499,20.03355967,19.315317,17.756691,17.158791,16.732933,16.533957,29
1237651752954757255,587726031729852572,221.59337412,1.22840576,18.215521,16.805916,16.277231,15.970074,15.805159,642
1237663204921442445,587731513678561534,16.60662745,0.67971295,19.815491,18.646877,17.739037,17.311913,16.982616,234
1237662224062546055,588017977814352012,170.55491251,38.38112339,20.173834,18.31613,17.317232,16.895103,16.532696,299
1237648703513231519,587722982288326849,205.9455506,-0.68966004,19.822365,18.383072,17.497545,17.051483,16.776754,417
1237674370217935231,587739407832580481,126.13388529,20.45726634,19.258621,17.162481,16.113474,15.668552,15.294185,114
1237654608533258417,587728676859347059,194.60309403,63.50331253,19.545595,18.279499,17.542208,17.087294,16.853188,64
1237662341084086598,587736619859181886,235.13478487,30.74388212,20.114876,18.085938,17.078552,16.619598,16.224762,50
1237664836469457067,587739115244552375,141.0159018,29.1170678,18.705042,17.394596,16.844221,16.551741,16.308973,193
1237665351320993915,587739630096089221,225.62361196,25.4756092,18.813751,17.061159,16.241564,15.874187,15.581985,76
1237651250949324998,588007004701130963,132.31741784,52.23615119,18.606382,17.305023,16.775602,16.464432,16.318907,167
1237661138498814140,588016892250620096,159.06059092,39.80092035,21.08778,18.741825,17.594429,17.121571,16.694361,135
1237662268067479638,587736525372325961,212.86844162,6.99807518,19.649628,17.892859,16.943102,16.538736,16.192232,17
