objid,redshift,plate,mjd,fiberid,class
1237662224594305220,0.088759,1957,53415,148,GALAXY
1237655691937251730,0.127493,917,52400,111,GALAXY
1237657606428819572,0.195845,831,52294,326,GALAXY
1237658802574524619,0.11979,1018,52672,586,GALAXY
1237658312406335561,0.10679,957,52398,515,GALAXY
1237667254013722852,0.195489,2224,53815,493,GALAXY
1237665231595700419,0.085337,2206,53795,479,GALAXY
1237651752954757255,0.049462,308,51662,443,GALAXY
1237663204921442445,0.253123,396,51816,455,GALAXY
1237662224062546055,0.120968,2037,53446,418,GALAXY
1237648703513231519,0.171159,299,51671,75,GALAXY
1237674370217935231,0.108639,2083,53359,387,GALAXY
1237654608533258417,0.133221,602,52072,295,GALAXY
1237662341084086598,0.095461,1389,53135,544,GALAXY
1237664836469457067,0.033315,1939,53389,265,GALAXY
1237665351320993915,0.072613,2152,53874,326,GALAXY
1237651250949324998,0.041308,447,51877,517,GALAXY
1237661138498814140,0.140627,1430,53002,512,GALAXY
1237662268067479638,0.110903,1824,53491,622,GALAXY
1237667733985165479,0.143439,2774,54534,248,GALAXY
1237674649391530184,0.126273,285,51930,262,GALAXY
1237652947988578459,0.165728,650,52143,423,GALAXY
1237654627323216313,0.107934,755,52235,233,GALAXY
1237657591394009191,0.275992,1014,52707,435,GALAXY
1237660671427936481,0.060946,1597,52999,452,GALAXY
1237655463236468947,0.064671,786,52319,126,GALAXY
1237664668436725879,0.121644,2096,53446,446,GALAXY
1237662301912629334,0.054978,1686,53472,492,GALAXY
1237662530065662101,0.078967,1706,53442,383,GALAXY
1237661873490952438,0.152756,1351,52790,36,GALAXY
1237662264851497056,0.022886,1807,54175,443,GALAXY
1237667783917830218,0.123043,2769,54527,516,GALAXY
1237679338961830003,0.122397,457,51901,407,GALAXY
1237662529536917611,0.155384,1722,53852,257,GALAXY
1237662696496890231,0.068612,1846,54173,218,GALAXY
1237667252921368767,0.143673,2281,53711,599,GALAXY
1237667910068535458,0.108922,2786,54540,44,GALAXY
1237649918430675099,0.1221,423,51821,89,GALAXY
1237655126089728337,0.115642,851,52376,547,GALAXY
1237658424618451348,0.107277,1193,52652,581,GALAXY
1237661811202457675,0.040837,1615,53166,1,GALAXY
1237666210348466367,0.084417,718,52206,297,GALAXY
1237652598499246305,0.062215,722,52224,246,GALAXY
1237657609104851286,0.060812,755,52235,6,GALAXY
1237654954277208338,0.232501,627,52144,571,GALAXY
